model,task,sampling_method,base_diversity,method_diversity,delta_from_base
GPT-5.4-Mini,prepare_cocktail_station,structured_random,0.066407,0.103307,0.036900
GPT-5.4-Mini,prepare_coffee,structured_random,0.048241,0.059726,0.011485
GPT-5.4-Mini,prepare_drink_station,structured_random,0.058804,0.084750,0.025946
GPT-5.4-Mini,prepare_sausage_cheese,structured_random,0.066963,0.085931,0.018968
GPT-5.4-Mini,prepare_soup_serving,structured_random,0.048851,0.074024,0.025174
GPT-5.4-Mini,seasoning_steak,structured_random,0.051776,0.072005,0.020230
GPT-5.4-Mini,serve_meal_juice,structured_random,0.065879,0.085098,0.019219
GPT-5.4-Mini,serve_steak,structured_random,0.050297,0.069296,0.018999
GPT-5.4-Mini,set_bowls_for_soup,structured_random,0.059952,0.071540,0.011588
GPT-5.4-Mini,set_up_spice_station,structured_random,0.072030,0.088922,0.016893
GPT-5.4-Mini,setup_bowls,structured_random,0.053327,0.080158,0.026831
GPT-5.4-Mini,setup_butter_plate,structured_random,0.050453,0.075239,0.024787
GPT-5.4-Mini,setup_soda_bowl,structured_random,0.075513,0.072712,-0.002801
GPT-5.4-Mini,setup_wine_glasses,structured_random,0.057894,0.083860,0.025966
GPT-5.4-Mini,spicy_marinade,structured_random,0.077291,0.072980,-0.004310
GPT-5.4-Mini,sweeten_coffee,structured_random,0.071436,0.070255,-0.001182
GPT-5.4-Mini,tong_buffet_setup,structured_random,0.048082,0.061132,0.013050
GPT-5.4-Mini,veggie_dip_prep,structured_random,0.078187,0.088717,0.010530
Gemini-3-Flash,add_lemon_to_fish,structured_random,0.059674,0.090543,0.030869
Gemini-3-Flash,add_sugar_cubes,structured_random,0.046430,0.106877,0.060447
Gemini-3-Flash,alcohol_serving_prep,structured_random,0.061337,0.093784,0.032447
Gemini-3-Flash,align_silverware,structured_random,0.047379,0.087537,0.040158
Gemini-3-Flash,arrange_bread_bowl,structured_random,0.051427,0.067084,0.015656
Gemini-3-Flash,arrange_drinkware,structured_random,0.045418,0.095306,0.049887
Gemini-3-Flash,arrange_tea,structured_random,0.044877,0.064130,0.019253
Gemini-3-Flash,beverage_organization,structured_random,0.051401,0.092192,0.040791
Gemini-3-Flash,bowl_and_cup,structured_random,0.060565,0.101093,0.040528
Gemini-3-Flash,candle_cleanup,structured_random,0.097549,0.169125,0.071576
Gemini-3-Flash,cheese_mixing,structured_random,0.050150,0.073638,0.023489
Gemini-3-Flash,cluster_items_for_clearing,structured_random,0.079744,0.134133,0.054389
Gemini-3-Flash,colorful_salsa,structured_random,0.056322,0.097774,0.041453
Gemini-3-Flash,condiment_collection,structured_random,0.063869,0.102580,0.038710
Gemini-3-Flash,cut_buffet_pizza,structured_random,0.050596,0.070597,0.020001
Gemini-3-Flash,date_night,structured_random,0.069500,0.096547,0.027047
Gemini-3-Flash,deliver_straw,structured_random,0.057949,0.076622,0.018673
Gemini-3-Flash,dessert_assembly,structured_random,0.055032,0.076058,0.021026
Gemini-3-Flash,display_meat_variety,structured_random,0.070537,0.096648,0.026111
Gemini-3-Flash,distribute_chicken,structured_random,0.048168,0.076181,0.028013
Gemini-3-Flash,garnish_cake,structured_random,0.067667,0.092996,0.025329
Gemini-3-Flash,garnish_cupcake,structured_random,0.058072,0.074765,0.016693
Gemini-3-Flash,garnish_pancake,structured_random,0.068512,0.081685,0.013173
Gemini-3-Flash,gather_marinade_ingredients,structured_random,0.049808,0.066227,0.016418
Gemini-3-Flash,hot_dog_setup,structured_random,0.063515,0.089285,0.025770
Gemini-3-Flash,lemon_seasoning_fish,structured_random,0.053882,0.085274,0.031392
Gemini-3-Flash,line_up_condiments,structured_random,0.056726,0.073845,0.017120
Gemini-3-Flash,match_cup_and_drink,structured_random,0.056520,0.083641,0.027121
Gemini-3-Flash,meat_skewer_assembly,structured_random,0.069778,0.087581,0.017802
Gemini-3-Flash,organize_condiments,structured_random,0.100496,0.115969,0.015473
Gemini-3-Flash,plate_store_dinner,structured_random,0.064687,0.079260,0.014573
Gemini-3-Flash,portion_hot_dogs,structured_random,0.064563,0.087766,0.023203
Gemini-3-Flash,portion_yogurt,structured_random,0.051929,0.095923,0.043994
Gemini-3-Flash,prepare_cheese_station,structured_random,0.030868,0.071816,0.040947
Gemini-3-Flash,prepare_cocktail_station,structured_random,0.049562,0.072286,0.022724
Gemini-3-Flash,prepare_drink_station,structured_random,0.062322,0.079209,0.016887
Gemini-3-Flash,prepare_sausage_cheese,structured_random,0.053250,0.077232,0.023983
Gemini-3-Flash,prepare_soup_serving,structured_random,0.044622,0.089025,0.044404
Gemini-3-Flash,seasoning_steak,structured_random,0.050295,0.104323,0.054028
Gemini-3-Flash,serve_meal_juice,structured_random,0.071334,0.110942,0.039608
Gemini-3-Flash,serve_steak,structured_random,0.041618,0.065921,0.024303
Gemini-3-Flash,set_bowls_for_soup,structured_random,0.077614,0.102627,0.025012
Gemini-3-Flash,set_up_spice_station,structured_random,0.062502,0.088980,0.026477
Gemini-3-Flash,setup_bowls,structured_random,0.052708,0.084152,0.031444
Gemini-3-Flash,setup_butter_plate,structured_random,0.041768,0.070236,0.028469
Gemini-3-Flash,setup_soda_bowl,structured_random,0.057655,0.081524,0.023869
Gemini-3-Flash,setup_wine_glasses,structured_random,0.060576,0.082162,0.021585
Gemini-3-Flash,spicy_marinade,structured_random,0.049473,0.104926,0.055453
Gemini-3-Flash,sweeten_coffee,structured_random,0.059617,0.070921,0.011304
Gemini-3-Flash,tong_buffet_setup,structured_random,0.052361,0.073180,0.020819
Gemini-3-Flash,veggie_dip_prep,structured_random,0.054629,0.097639,0.043010
Gemini-3.1-Pro,add_lemon_to_fish,structured_random,0.082486,0.098860,0.016374
Gemini-3.1-Pro,add_sugar_cubes,structured_random,0.111199,0.153527,0.042329
Gemini-3.1-Pro,alcohol_serving_prep,structured_random,0.047940,0.087774,0.039834
Gemini-3.1-Pro,align_silverware,structured_random,0.063971,0.097360,0.033389
Gemini-3.1-Pro,arrange_bread_bowl,structured_random,0.041946,0.083857,0.041911
Gemini-3.1-Pro,arrange_drinkware,structured_random,0.045691,0.102481,0.056790
Gemini-3.1-Pro,arrange_tea,structured_random,0.059757,0.090260,0.030503
Gemini-3.1-Pro,beverage_organization,structured_random,0.071588,0.104491,0.032903
Gemini-3.1-Pro,bowl_and_cup,structured_random,0.049847,0.091628,0.041781
Gemini-3.1-Pro,candle_cleanup,structured_random,0.086027,0.154511,0.068484
Gemini-3.1-Pro,cheese_mixing,structured_random,0.048796,0.094248,0.045452
Gemini-3.1-Pro,cluster_items_for_clearing,structured_random,0.131755,0.213025,0.081270
Gemini-3.1-Pro,colorful_salsa,structured_random,0.110450,0.153723,0.043274
Gemini-3.1-Pro,condiment_collection,structured_random,0.077009,0.114120,0.037111
Gemini-3.1-Pro,cut_buffet_pizza,structured_random,0.060702,0.081864,0.021162
Gemini-3.1-Pro,date_night,structured_random,0.047384,0.115575,0.068191
Gemini-3.1-Pro,deliver_straw,structured_random,0.060920,0.115438,0.054518
Gemini-3.1-Pro,dessert_assembly,structured_random,0.046518,0.131352,0.084834
Gemini-3.1-Pro,display_meat_variety,structured_random,0.054155,0.102449,0.048294
Gemini-3.1-Pro,distribute_chicken,structured_random,0.047482,0.081493,0.034011
Gemini-3.1-Pro,garnish_cake,structured_random,0.065026,0.142238,0.077212
Gemini-3.1-Pro,garnish_cupcake,structured_random,0.053750,0.100510,0.046760
Gemini-3.1-Pro,garnish_pancake,structured_random,0.061502,0.079099,0.017597
Gemini-3.1-Pro,gather_marinade_ingredients,structured_random,0.052820,0.098375,0.045554
Gemini-3.1-Pro,hot_dog_setup,structured_random,0.061277,0.084732,0.023455
Gemini-3.1-Pro,lemon_seasoning_fish,structured_random,0.059867,0.129643,0.069776
Gemini-3.1-Pro,line_up_condiments,structured_random,0.046138,0.080643,0.034506
Gemini-3.1-Pro,match_cup_and_drink,structured_random,0.051839,0.095383,0.043544
Gemini-3.1-Pro,meat_skewer_assembly,structured_random,0.070974,0.170434,0.099459
Gemini-3.1-Pro,organize_condiments,structured_random,0.074290,0.128633,0.054343
Gemini-3.1-Pro,plate_store_dinner,structured_random,0.068646,0.118870,0.050224
Gemini-3.1-Pro,portion_hot_dogs,structured_random,0.106910,0.127666,0.020756
Gemini-3.1-Pro,portion_yogurt,structured_random,0.082645,0.127936,0.045290
Gemini-3.1-Pro,prepare_cheese_station,structured_random,0.040265,0.084946,0.044680
Gemini-3.1-Pro,prepare_cocktail_station,structured_random,0.040440,0.081473,0.041033
Gemini-3.1-Pro,prepare_coffee,structured_random,0.063604,0.096496,0.032893
Gemini-3.1-Pro,prepare_drink_station,structured_random,0.065929,0.115754,0.049825
Gemini-3.1-Pro,prepare_sausage_cheese,structured_random,0.043513,0.079182,0.035670
Gemini-3.1-Pro,prepare_soup_serving,structured_random,0.043984,0.097944,0.053960
Gemini-3.1-Pro,seasoning_steak,structured_random,0.050726,0.092966,0.042241
Gemini-3.1-Pro,serve_meal_juice,structured_random,0.054337,0.123315,0.068977
Gemini-3.1-Pro,serve_steak,structured_random,0.046979,0.070854,0.023874
Gemini-3.1-Pro,set_bowls_for_soup,structured_random,0.051377,0.114534,0.063157
Gemini-3.1-Pro,set_up_spice_station,structured_random,0.055626,0.090561,0.034936
Gemini-3.1-Pro,setup_bowls,structured_random,0.042301,0.080528,0.038228
Gemini-3.1-Pro,setup_butter_plate,structured_random,0.037442,0.074641,0.037199
Gemini-3.1-Pro,setup_soda_bowl,structured_random,0.051814,0.101216,0.049402
Gemini-3.1-Pro,setup_wine_glasses,structured_random,0.049277,0.086474,0.037196
Gemini-3.1-Pro,spicy_marinade,structured_random,0.085511,0.106748,0.021237
Gemini-3.1-Pro,sweeten_coffee,structured_random,0.053294,0.103894,0.050600
Gemini-3.1-Pro,tong_buffet_setup,structured_random,0.053330,0.114784,0.061454
Gemini-3.1-Pro,veggie_dip_prep,structured_random,0.074176,0.133275,0.059100
